项目,发布时间,供应商（乙方）,法定代表人,联系方式,合同金额（元）
关于打印/复印纸的框架协议合同公告,2025-05-20 10:49:01,上海天运纸业有限公司,张善和(女),13817303546,9996.00
关于台式整机及操作系统的框架协议合同公告,2025-05-20 10:32:57,上海德豪电子科技有限公司,徐海忠(男),18018881771,38076.00
关于彩色激光多功能一体机的框架协议合同公告,2025-05-20 10:31:22,上海晗谦商贸有限公司,阮文君(男),18310038099,4500.00
关于UPS电源的框架协议合同公告,2025-05-20 10:27:27,上海丹贝电子科技有限公司,高其苓(女),17721172750,965540.00
中国渔政31008船年度修理费的合同公告,2025-05-20 10:26:56,上海东真船舶工程有限公司,赵明(男),021-63214135,1627536.00
关于会计审计的框架协议合同公告,2025-05-20 10:19:30,上海枫雅会计师事务所（普通合伙）,丁勤勤(女),13817657465,60000.00
市规划资源局综合支撑大系统（2025年升级改造）公告,2025-05-20 10:18:04,中电科数字技术股份有限公司,江波(男),021-23171517,2978000.00
HIS信息系统（2025年升级改造）公告,2025-05-20 10:17:28,上海亚太计算机信息系统有限公司,王忠海(男),无,979000.00
关于制冷空调设备的框架协议合同公告,2025-05-20 09:55:03,上海军凉空调电器有限公司,鲁军(男),021-69223892,16454.00
关于笔记本电脑的框架协议合同公告,2025-05-20 09:53:44,上海渲冉电子科技有限公司,周冬峰(男),18017716907,9500.00
国家食品安全抽检任务经费1的合同公告,2025-05-20 09:48:22,上海市质量监督检验技术研究院,王虎(男),13916937484,4130000.00
关于会计审计的框架协议合同公告,2025-05-20 09:47:09,上海久信会计师事务所有限公司,王艳(女),13816200901,40000.00
关于固定资产专项审计的框架协议合同公告,2025-05-20 09:46:32,上会会计师事务所（特殊普通合伙）,朱清滨(男),021-63193188,99000.00
关于彩色激光多功能一体机的框架协议合同公告,2025-05-20 09:32:47,上海彩和电子有限公司,沈和平(男),021-33100679,4980.00
上海大学教职工体检3的合同公告,2025-05-20 08:48:29,上海瑞慈瑞铂门诊部有限公司,梅蜀亭(男),13166221796,2724700.00
关于打印/复印纸的框架协议合同公告,2025-05-19 21:05:27,上海为教贸易有限公司,张红(女),021-64804950,4804.00
关于打印/复印纸的框架协议合同公告,2025-05-19 18:06:10,科力普科技集团股份有限公司,陈湖文(男),021-22028061,99984.00
关于彩色激光多功能一体机的框架协议合同公告,2025-05-19 17:32:52,上海润协办公用品有限公司,曾晓倩(女),15800338159,42300.00
关于制冷空调设备的框架协议合同公告,2025-05-19 16:33:36,上海蜀葵实业有限公司,曹鹏(男),02160873572,178470.00
关于多功能一体机采购的框架协议合同公告,2025-05-19 16:24:16,上海齐升祥贸易有限公司,浦安琦(男),021-23110103,87300.00
关于台式整机的框架协议合同公告,2025-05-19 16:09:28,上海仪电鑫森科技发展有限公司,夏军(男),18017081160,5850.00
关于物业管理服务的框架协议合同公告,2025-05-19 16:08:07,上海招商局物业管理有限公司,刁仲江(男),17321038375,472320.00
关于彩色激光多功能一体机的框架协议合同公告,2025-05-19 16:03:17,上海中飞办公设备有限公司,许大山(男),15800338159,4980.00
关于彩色激光多功能一体机的框架协议合同公告,2025-05-19 15:58:45,上海潘多星实业有限公司,胡春花(女),13761624377,7490.00
关于笔记本电脑的框架协议合同公告,2025-05-19 15:57:07,上海集泉信息科技有限公司,张伟(男),15800338159,9800.00
关于显示器的框架协议合同公告,2025-05-19 15:53:05,上海如印智能科技有限公司,李小泳(男),18932208069,2299.00
关于彩色激光多功能一体机的框架协议合同公告,2025-05-19 15:50:35,上海中飞办公设备有限公司,许大山(男),15800338159,1600.00
关于车辆维修和保养服务的框架协议合同公告,2025-05-19 15:34:28,上海均达汽车修理有限公司,杨海军(男),021-57414901,16060.00
关于笔记本电脑的框架协议合同公告,2025-05-19 15:33:19,上海紫藤云信息科技有限公司,李克(男),021-28957551,359928.00
民主党派大厦物业管理公告,2025-05-19 15:31:59,上海上勤高级楼宇管理有限公司,陶巍(男),021-54652600,6345667.80
关于固定资产专项审计的框架协议合同公告,2025-05-19 15:28:36,上海华安会计师事务所有限公司,杨怡闻(女),021-63193188,97000.00
关于固定资产专项审计的框架协议合同公告,2025-05-19 15:26:44,上海民信会计师事务所有限公司,徐世琴(女),021-63193188,145500.00
关于显示器的框架协议合同公告,2025-05-19 15:26:39,上海海德众业信息科技有限公司,沈国柱(男),17321038375,17400.00
关于显示器的框架协议合同公告,2025-05-19 15:25:24,上海政采数码技术有限公司,章思虹(女),18310038099,9992.00
关于显示器的框架协议合同公告,2025-05-19 15:24:53,上海政采数码技术有限公司,章思虹(女),18310038099,770.00
关于打印/复印纸的框架协议合同公告,2025-05-19 15:18:15,上海中飞办公设备有限公司,许大山(男),021-54325166,1402.50
关于西安房产租金评估服务的框架协议合同公告,2025-05-19 14:54:20,上海科华资产评估有限公司,邢伟(女),021-32511500,3000.00
关于复印机的框架协议合同公告,2025-05-19 14:53:12,上海肃诚办公设备有限公司,王震华(男),021-63846590,24300.00
关于制冷空调设备的框架协议合同公告,2025-05-19 14:52:59,上海中飞办公设备有限公司,许大山(男),021-62203019,10150.00
热线建设及接线、外呼承接服务的合同公告,2025-05-19 14:51:41,上海电信百事应信息有限公司,印春祥(男),021-32508057,3124600.00
关于彩色激光多功能一体机的框架协议合同公告,2025-05-19 14:49:55,上海冠德科贸有限公司,杨江鹏(男),021-28957551,53000.00
关于彩色激光多功能一体机的框架协议合同公告,2025-05-19 14:49:17,上海冠德科贸有限公司,杨江鹏(男),13761519648,168000.00
关于彩色激光多功能一体机的框架协议合同公告,2025-05-19 14:48:40,上海冠德科贸有限公司,杨江鹏(男),13761519648,72000.00
关于打印/复印纸的框架协议合同公告,2025-05-19 14:47:05,史泰博（上海）有限公司,张潮涌(男),无,2986.80
关于笔记本电脑的框架协议合同公告,2025-05-19 14:45:45,上海至正科技有限公司,胡家明(男),13310059546,9990.00
上海大学教职工体检2的合同公告,2025-05-19 14:44:37,上海美年门诊部有限公司,俞熔(男),13166221796,2724700.00
关于会计审计的框架协议合同公告,2025-05-19 14:42:59,上海天城会计师事务所有限公司,陈其(男),13564645440,80000.00
2025年市城管执法局违法建筑核查服务项目的合同公告,2025-05-19 14:19:14,上海同济检测技术有限公司,卢希红(男),021-63316735,1042600.00
关于2025年政采2台碎纸机的框架协议合同公告,2025-05-19 14:13:03,上海肃诚办公设备有限公司,王震华(男),021-24197911,3878.00
关于台式整机的框架协议合同公告,2025-05-19 14:12:01,上海海德众业信息科技有限公司,沈国柱(男),13918376298,300000.00
关于打印/复印纸的框架协议合同公告,2025-05-19 14:08:30,上海睿科威纸业有限公司,胡晓明(女),13917020278,780.00
运动员备战经费（郑文杰）的合同公告,2025-05-19 14:05:30,上海一摩体育发展有限公司,杨敏(女),021-57346681,1199000.00
马术重点运动员培养（华天）的合同公告,2025-05-19 13:55:58,上海源长流马术俱乐部有限公司,YIQIANRU(女),021-57346681,1199000.00
上海图书馆（上海科学技术情报研究所）红色文献及历史文献抢救保护项目-中文老旧报纸全文OCR元数据制作公告,2025-05-19 13:51:16,深圳市点通数据有限公司,张玉志(男),021-64455555,4490312.00
关于彩色激光多功能一体机的框架协议合同公告,2025-05-19 13:49:04,上海代文电子科技有限公司,曹代娣(女),021-24197911,9800.00
关于政采激光多功能一体机的框架协议合同公告,2025-05-19 13:48:12,上海代文电子科技有限公司,曹代娣(女),021-24197911,9860.00
关于彩色激光打印机的框架协议合同公告,2025-05-19 13:47:16,上海代文电子科技有限公司,曹代娣(女),021-24197911,4500.00
上海远程老年大学电视课程制作播出的合同公告,2025-05-19 13:47:03,中共上海市教育卫生工作委员会新闻中心（上海教育电视台）,孙向彤(男),13817781202,1000000.00
关于打印/复印纸的框架协议合同公告,2025-05-19 13:42:54,史泰博（上海）有限公司,张潮涌(男),021-62498579,1156.00
关于多功能一体机采购的框架协议合同公告,2025-05-19 13:31:15,上海长盈办公设备有限公司,沈静(女),021-23110103,87300.00
关于其他会计服务的框架协议合同公告,2025-05-19 13:17:15,上海枫雅会计师事务所（普通合伙）,丁勤勤(女),18001769001,60000.00
关于开展2025年度早餐工程等项目会计审计的框架协议合同公告,2025-05-19 13:16:36,天职国际会计师事务所（特殊普通合伙）上海分所,胡建军(男),021-23110679,98000.00
药品包装材料检测管理大系统公告,2025-05-19 12:58:25,上海启明软件股份有限公司,刘民(男),021-38839700,2091391.00
关于彩色激光多功能一体机的框架协议合同公告,2025-05-19 12:54:59,上海一风一影智能办公设备有限公司,张波(男),18310038099,5000.00
关于会计审计的框架协议合同公告,2025-05-19 12:13:17,上海泽坤会计师事务所（普通合伙),胡春英(女),13564604887,46000.00
关于笔记本电脑的框架协议合同公告,2025-05-19 12:00:56,上海瑞忆鑫信息技术有限公司,王祥雨(女),18310038099,9060.00
关于彩色激光多功能一体机的框架协议合同公告,2025-05-19 11:50:40,上海彩和电子有限公司,沈和平(男),17321038375,1890.00
上海大学危险废物处理服务项目的合同公告,2025-05-19 11:50:01,上海奕茂环境科技有限公司,华晓(男),021-66132950,1750000.00
关于物业管理服务的框架协议合同公告,2025-05-19 11:48:47,上海上房物业服务股份有限公司,周超(男),17321038375,461234.24
关于资产评估服务的框架协议合同公告,2025-05-19 11:32:20,上海集联资产评估有限公司,修雪嵩(男),13761631052,4000.00
关于打印/复印纸的框架协议合同公告,2025-05-19 10:56:39,上海杰颂优办公用品有限公司,周汨(男),13764191281,580.00
关于彩色激光多功能一体机的框架协议合同公告,2025-05-19 10:44:31,史泰博电子商务（上海）有限公司,张潮涌(男),15900771377,5000.00
物业管理费公告,2025-05-19 10:44:13,上海上勤物业管理有限公司,周晓斌(男),021-62758877,1459980.00
关于打印/复印纸的框架协议合同公告,2025-05-19 10:42:55,上海中飞办公设备有限公司,许大山(男),15800338159,476.85
儿童食堂及学生标间修缮项目-建安工程费的合同公告,2025-05-19 10:37:17,上海京威建设工程有限公司,强云云(女),18761654105,3492596.00
关于显示器的框架协议合同公告,2025-05-19 10:24:15,上海尚郝信息科技有限公司,白秀可(男),18310038099,5780.00
关于预算绩效评价咨询服务的框架协议合同合同变更公告,2025-05-19 10:22:42,无,无,无,无
关于打印/复印纸的框架协议合同公告,2025-05-19 10:14:11,上海政采数码技术有限公司,章思虹(女),17321038375,655.00
关于打印/复印纸的框架协议合同公告,2025-05-19 10:09:29,上海政服贸易有限公司,何风英(女),18616307710,1025.00
关于打印/复印纸的框架协议合同公告,2025-05-19 10:08:37,上海政服贸易有限公司,何风英(女),18616307710,1734.00
全自动微生物质谱检测系统的合同公告,2025-05-19 09:54:10,上海国际科学技术有限公司,陈剑(男),021-59804367,1796000.00
关于互联网信息服务的框架协议合同公告,2025-05-19 09:46:58,上海科技网络通信有限公司,赵海鸿(男),021-62758710,162000.00
关于笔记本电脑的框架协议合同公告,2025-05-19 09:44:52,上海瑞忆鑫信息技术有限公司,王祥雨(女),15800338159,136000.00
关于台式整机的框架协议合同公告,2025-05-19 09:44:09,上海瑞忆鑫信息技术有限公司,王祥雨(女),15800338159,5850.00
关于台式整机的框架协议合同公告,2025-05-19 09:30:40,上海潘多星实业有限公司,胡春花(女),13761624377,5780.00
关于会计审计的框架协议合同公告,2025-05-19 09:29:02,上海运宣佑会计师事务所（普通合伙）,汤丹花(女),021-22503700,99900.00
关于电梯的框架协议合同公告,2025-05-19 09:19:08,上海三菱电梯有限公司,万忠培(男),021-68622000,331600.00
关于市级社会服务机构年检抽查审计的框架协议合同公告,2025-05-19 09:15:32,上海知深会计师事务所（普通合伙）,王彩淦(男),17317255613,246000.00
农场分局基层所队物业服务及保安管理费的合同公告,2025-05-19 09:12:41,上海宗保保安服务有限公司,蒋德玉(男),021-50566068,4532530.53
关于其他印刷服务的框架协议合同公告,2025-05-19 09:10:18,上海版专印务有限公司,周维蕾(女),021-52136378,245880.00
关于台式整机的框架协议合同公告,2025-05-19 09:02:23,上海原康科技有限公司,康惠君(女),021-31773209,60000.00
高速显微成像平台的合同公告,2025-05-19 08:45:00,建发（上海）有限公司,林茂(男),021-26085402,5998000.00
多功能激光扫描仪的合同公告,2025-05-19 08:43:48,赛尔网络有限公司,吴建平(男),021-26085402,1995000.00
上海临床研究中心多参数流式细胞仪的合同公告,2025-05-19 08:42:23,赛尔网络有限公司,吴建平(男),021-26084602,2498000.00
关于显示器的框架协议合同公告,2025-05-19 07:53:33,上海茂源软件科技有限公司,陶学海(男),021-61655060,7690.00
关于打印/复印纸的框架协议合同公告,2025-05-18 17:33:26,上海立可嘉数码科技有限公司,陈敏(女),15301636237,1425.00
关于打印/复印纸的框架协议合同公告,2025-05-17 17:21:24,上海怀志商贸有限公司,洪桃朵(女),02135304252,700.00
关于打印/复印纸的框架协议合同公告,2025-05-17 17:18:19,上海怀志商贸有限公司,洪桃朵(女),02135304252,980.00
关于打印/复印纸的框架协议合同公告,2025-05-17 17:15:51,上海怀志商贸有限公司,洪桃朵(女),02135304252,280.00
关于打印/复印纸的框架协议合同公告,2025-05-17 17:13:09,上海怀志商贸有限公司,洪桃朵(女),02135304252,2800.00
关于打印/复印纸的框架协议合同公告,2025-05-17 17:10:40,上海怀志商贸有限公司,洪桃朵(女),02135304252,1400.00
关于打印/复印纸的框架协议合同公告,2025-05-17 17:08:11,上海怀志商贸有限公司,洪桃朵(女),02135304252,1400.00
关于打印/复印纸的框架协议合同公告,2025-05-17 17:05:58,上海怀志商贸有限公司,洪桃朵(女),02135304252,700.00
关于打印/复印纸的框架协议合同公告,2025-05-17 17:01:47,上海怀志商贸有限公司,洪桃朵(女),02135304252,2800.00
机考保障（计算机软件资格考试）的合同公告,2025-05-17 01:16:42,深圳市海云天科技股份有限公司,封模春(女),021-61969067,1497600.00
机考保障（经济等电子化考试）的合同公告,2025-05-16 20:36:04,深圳市卓帆技术有限公司,祁长生(男),021-61969067,2800000.00
关于其他印刷服务的框架协议合同公告,2025-05-16 18:10:07,上海界龙现代印刷纸品有限公司,贾军民(男),021-28951146,800000.00
关于打印/复印纸的框架协议合同公告,2025-05-16 18:03:44,上海政采数码技术有限公司,章思虹(女),17321038375,524.00
关于碎纸机的框架协议合同公告,2025-05-16 17:59:40,上海政采数码技术有限公司,章思虹(女),17321038375,1959.00
上海市城市管理行政执法局金丽大厦合同能源管理的合同公告,2025-05-16 17:38:16,上海能源建设工程设计研究有限公司,孙永康(男),021-63316056,9550000.00
关于制冷空调设备的框架协议合同公告,2025-05-16 17:28:05,科力普科技集团股份有限公司,陈湖文(男),18918766787,11990.00
数智赋能教学管理支持及配套服务（二期）公告,2025-05-16 17:21:31,上海教育软件发展有限公司,郭永进(男),021-62497127,2600000.00
上海市体育运动学校保安服务公告,2025-05-16 17:21:03,上海展歆保安服务有限公司,吴世培(男),021-56631555,1684704.00
关于台式整机的框架协议合同公告,2025-05-16 17:19:50,上海政采数码技术有限公司,章思虹(女),17321038375,5850.00
关于预算绩效管理第三方服务的合同公告,2025-05-16 17:01:37,上海立丰税务师事务所有限公司,谭志娟(女),021-34698776,150000.00
虹桥枢纽大院物业管理费的合同公告,2025-05-16 16:56:54,上海新世纪房产服务有限公司,陆军(男),13764490997,1435835.00
长宁路1111号物业管理费的合同公告,2025-05-16 16:55:39,上海新世纪房产服务有限公司,陆军(男),13764490997,5700000.00
上海市高级人民法院机关本部后勤辅助物业服务人员项目的合同公告,2025-05-16 16:54:22,上海新世纪房产服务有限公司,陆军(男),18018887652,2815140.00
上海市高级人民法院“12368”热线窗口服务人员项目的合同公告,2025-05-16 16:50:54,上海新世纪房产服务有限公司,陆军(男),18018887652,2546928.00
关于打印/复印纸的框架协议合同公告,2025-05-16 16:35:16,科力普科技集团股份有限公司,陈湖文(男),13818594932,9967.50
关于打印/复印纸的框架协议合同公告,2025-05-16 16:34:47,科力普科技集团股份有限公司,陈湖文(男),13818594932,18840.00
关于打印/复印纸的框架协议合同公告,2025-05-16 16:34:13,科力普科技集团股份有限公司,陈湖文(男),13818594932,2650.00
食堂物业管理费 的合同公告,2025-05-16 16:30:23,上海辰贤餐饮管理有限公司,徐刚(男),021-68139518,2198050.00
关于其他印刷服务的框架协议合同公告,2025-05-16 16:29:44,上海昌鑫龙印务有限公司,陈昌龙(男),无,24750.00
关于其他印刷服务的框架协议合同公告,2025-05-16 16:29:18,上海昌鑫龙印务有限公司,陈昌龙(男),无,6358.00
关于其他印刷服务的框架协议合同公告,2025-05-16 16:28:51,上海昌鑫龙印务有限公司,陈昌龙(男),无,2120.00
关于其他印刷服务的框架协议合同公告,2025-05-16 16:28:24,上海昌鑫龙印务有限公司,陈昌龙(男),15821586718,155000.00
关于笔记本电脑的框架协议合同公告,2025-05-16 16:25:14,上海瑞忆鑫信息技术有限公司,王祥雨(女),17321038375,8890.00
关于预算绩效评价咨询服务的框架协议合同公告,2025-05-16 16:21:04,上海泰乙税务师事务所（普通合伙）,吴伟民(男),021-28951146,190000.00
关于预算绩效评价咨询服务的框架协议合同公告,2025-05-16 16:19:47,上海泰乙税务师事务所（普通合伙）,吴伟民(男),021-28951146,50000.00
关于制冷空调设备的框架协议合同公告,2025-05-16 16:18:17,上海电欣冷气工程有限公司,张文美(男),021-53060606,10507.00
关于打印/复印纸的框架协议合同公告,2025-05-16 16:10:23,晨省纸业（上海）有限公司,郭彦国(男),021-54244620,7627.00
全国网上信访信息系统上海分系统项目（2025年升级改造）公告,2025-05-16 16:00:30,上海万达信息系统有限公司,杨玲(女),021-23113290,3540000.00
关于资产评估服务的框架协议合同公告,2025-05-16 15:58:58,上海三联资产评估有限公司,尹丽娜(女),021-24028908,14000.00
关于打印/复印纸的框架协议合同公告,2025-05-16 15:56:33,史泰博（上海）有限公司,张潮涌(男),无,1734.00
关于打印/复印纸的框架协议合同公告,2025-05-16 15:42:26,科力普科技集团股份有限公司,陈湖文(男),18918766787,3177.50
关于笔记本电脑的框架协议合同公告,2025-05-16 15:40:40,上海尚郝信息科技有限公司,白秀可(男),17321038375,18600.00
关于碎纸机的框架协议合同公告,2025-05-16 15:38:31,史泰博（上海）有限公司,张潮涌(男),13916598578,3918.00
关于打印/复印纸的框架协议合同公告,2025-05-16 15:37:12,上海晋冉信息科技有限公司,谢瑞君(女),17321038375,2055.00
关于彩色激光多功能一体机的框架协议合同公告,2025-05-16 15:36:32,上海晋冉信息科技有限公司,谢瑞君(女),17321038375,4500.00
关于打印/复印纸的框架协议合同公告,2025-05-16 15:33:22,上海文新电脑印务有限公司,孙宗铭(男),021-28951146,107999.50
国家食品安全抽检任务经费2的合同公告,2025-05-16 15:24:26,品测（上海）检测科技有限公司,梁爱勇(男),021-33587967,2135000.00
篮排网球场地维修工程（一期）的合同公告,2025-05-16 15:16:24,上海舜川建设工程有限公司,陈捷(男),13585756193,3210175.61
关于打印/复印纸的框架协议合同公告,2025-05-16 15:16:23,上海政服贸易有限公司,何风英(女),18019278347,7200.00
关于互联网信息服务的框架协议合同公告,2025-05-16 15:03:37,赛尔网络有限公司,吴建平(男),无,960000.00
关于台式整机的框架协议合同公告,2025-05-16 14:56:54,上海璟钰电子商务有限公司,鄂淼(女),18516690460,42000.00
上海市业余科技学院（上海科学会堂服务中心）安保管理服务公告,2025-05-16 14:55:14,上海市卢安保安服务有限公司,蔡茜琼(女),021-53820127,2315520.00
关于关键共性技术攻关计划审计的合同公告,2025-05-16 14:49:53,上海明远会计师事务所（普通合伙）,张能明(男),021-51371537,10800.00
关于笔记本电脑的框架协议合同公告,2025-05-16 14:47:12,上海仪电鑫森科技发展有限公司,夏军(男),021-24028909,8080.00
关于笔记本电脑的框架协议合同公告,2025-05-16 14:45:26,上海仪电鑫森科技发展有限公司,夏军(男),021-24028909,18940.00
关于彩色激光多功能一体机的框架协议合同公告,2025-05-16 14:43:01,上海仪电鑫森科技发展有限公司,夏军(男),021-24028909,5340.00
关于制冷空调设备的框架协议合同公告,2025-05-16 14:39:11,上海恒正科技有限公司,陈莉荣(男),13801925215,5290.00
关于资产评估服务的框架协议合同公告,2025-05-16 14:37:35,上海信达资产评估有限公司,韩世新(男),17721323801,6000.00
关于碎纸机的框架协议合同公告,2025-05-16 14:37:05,上海忆俊电子科技有限公司,时嘉玮(男),13701739067,1960.00
上海市建筑工程学校北吴路世赛训练场地租赁资产评估服务的框架协议合同公告,2025-05-16 14:36:40,上海加策资产评估有限公司,冯郁芬(男),021-34173865,7000.00
关于台式整机的框架协议合同公告,2025-05-16 14:32:39,中晶微服（上海）数据科技有限公司,全朝阳(女),021-63193188,5850.00
上海海事法院审判全流程（2025年运维项目）的合同公告,2025-05-16 14:11:01,上海浦东华宇信息技术有限公司,米坤(男),021-68567567,1257000.00
关于资产评估服务的框架协议合同公告,2025-05-16 14:06:25,沃克森（北京）国际资产评估有限公司,徐伟建(男),15921540118,60000.00
上海海事法院诉讼全流程（2025年运维项目）的合同公告,2025-05-16 14:04:03,上海华讯网络系统有限公司,张为民(男),021-68567567,1089000.00
教视大厦物业管理服务合同公告,2025-05-16 14:01:22,上海生乐物业管理有限公司,虞宏峰(男),021-36336300,1459849.00
教视大厦物业管理服务合同公告,2025-05-16 14:00:30,上海生乐物业管理有限公司,虞宏峰(男),021-36336300,1459849.00
上海市残疾人文化体育促进中心--2025 年崇明基地餐饮管理采购项目的合同公告,2025-05-16 13:55:56,上海朔漾餐饮管理有限公司,张玉(女),15021342466,2181339.60
关于一体机的框架协议合同公告,2025-05-16 13:54:49,上海逸明恒业数码技术有限公司,冯继芸(女),15221280852,104400.00
关于一体机的框架协议合同公告,2025-05-16 13:54:12,上海逸明恒业数码技术有限公司,冯继芸(女),15221280852,14000.00
关于一体机的框架协议合同公告,2025-05-16 13:53:39,上海逸明恒业数码技术有限公司,冯继芸(女),15221280852,888000.00
关于会计审计的框架协议合同公告,2025-05-16 13:27:26,上海欧柯盟会计师事务所有限公司,俞蕾(女),021-50581672,46000.00
科研用房及配套设施修缮与改造 —科研用房及辅助设施修缮的合同公告,2025-05-16 13:26:17,上海丰隆建筑发展有限公司,姜博源(男),021-67131662,2370000.00
上海市保健医疗中心12诊疗区大修工程施工合同公告,2025-05-16 13:20:40,上海建工四建集团有限公司,沈军(男),15190269680,20610500.00
上海市第六人民医院手术室行为管理系统采购项目的合同公告,2025-05-16 13:19:23,北京德睿康智能设备有限公司,吴翠丽(女),18017579179,2060000.00
学员餐饮管理服务费的合同公告,2025-05-16 13:05:00,上海东湖物业管理有限公司,陈杰(男),021-64253595,2850000.00
十二指肠镜系统（含双气囊小肠镜） 的合同公告,2025-05-16 13:01:11,建发（上海）有限公司,林茂(男),021-20685402,1995000.00
上海临床研究中心数字剪影血管造影DSA （单板）的合同公告,2025-05-16 13:00:07,喜事利（上海）医疗科技有限公司,李晶(女),021-26084602,4998000.00
上海临床研究中心超声胃肠镜系统的合同公告,2025-05-16 12:56:14,建发（上海）有限公司,林茂(男),021-26084602,4489000.00
关于打印/复印纸的框架协议合同公告,2025-05-16 12:49:19,上海溢孚实业有限公司,沈卓(女),021-28953131,99980.00
关于台式整机的框架协议合同公告,2025-05-16 12:36:19,上海藏一智能科技发展有限公司,陈贺峰(男),15301636237,7588.00
上海航宇科普中心游客出入口改造项目的合同公告,2025-05-16 12:22:21,上海京藤建设工程（集团）有限公司,刘志豪(男),021-64804950,1486034.00
上海大学低维材料制备及高分辨原位表征系统的合同公告,2025-05-16 12:19:39,玻色子（北京）有限公司,水俊峰(男),15800477970,3999000.00
关于会计审计的框架协议合同公告,2025-05-16 12:13:24,尤尼泰振青会计师事务所（特殊普通合伙）上海分所,王文(男),13917280898,142000.00
司法局信息安全及数字资源管理公告,2025-05-16 11:51:07,上海衡纯信息科技有限公司,王健(女),021-24029009,2580000.00
上海市保健医疗数字化管理平台建设项目公告,2025-05-16 11:19:39,上海仪电鑫森科技发展有限公司,夏军(男),021-23115576,12167000.00
土地储备（整备）地块管护的合同公告,2025-05-16 11:18:36,上海长宁保安服务有限公司,徐坚(男),15801927598,5498384.00
上海市保健医疗移动服务管理子系统建设项目公告,2025-05-16 11:17:50,上海仪电鑫森科技发展有限公司,夏军(男),021-23115576,1562000.00
关于《文物保护与考古科学》2025年期刊出版印刷的框架协议合同公告,2025-05-16 10:58:04,上海新华印刷有限公司,王旭平(男),18109282991,450000.00
关于预算绩效评价咨询服务的框架协议合同公告,2025-05-16 10:57:39,上海华政一页税务师事务所有限公司,徐方杰(男),021-28953131,100000.00
关于投影机的框架协议合同公告,2025-05-16 10:47:46,上海数望信息科技有限公司,朱宾(男),18916876231,49000.00
关于会计审计的框架协议合同公告,2025-05-16 10:45:57,上海申北会计师事务所有限公司,胡铁兴(男),021-63170101,106000.00
上海立信会计金融学院学生处2025年复印纸政府框架协议采购合同公告,2025-05-16 10:29:03,斯德（上海）信息技术服务有限公司,周诚(男),18021097125,4260.00
关于资产评估服务的框架协议合同公告,2025-05-16 10:28:31,上海城乡资产评估有限责任公司,励允文(男),18917620015,8000.00
上海立信会计金融学院统计与数学学院2025年复印纸政府框架协议采购合同公告,2025-05-16 10:25:48,上海兴诚办公用品有限公司,周美兴(男),021-50218609,3570.00
上海市保健医疗中心便捷就医子系统建设项目公告,2025-05-16 10:18:24,无锡智信云信息科技有限公司,陈泽琼(女),17712389839,1175000.00
上海市资源利用和垃圾分类管理事务中心2025-2027年老港一二三期封场维护封场绿化及生态塘养护的合同公告,2025-05-16 10:13:05,上海老港废弃物处置有限公司,陈跃卫(男),021-68296022,11669509.49
上海临床研究中心数字剪影血管造影DSA （大板）的合同公告,2025-05-16 10:09:43,上海东松医疗科技股份有限公司,张路(男),021-26084602,7493934.00
上海市松江区人民检察院远程提讯同录改造子系统建设项目公告,2025-05-16 10:09:17,上海垅上信息技术有限公司,尹晓玲(女),021-37696331,1169620.00
关于台式整机的框架协议合同公告,2025-05-16 10:09:06,上海慧康信息技术有限公司,邵海鸣(男),18117496100,12230.00
关于台式整机的框架协议合同公告,2025-05-16 10:08:12,上海慧康信息技术有限公司,邵海鸣(男),18117496100,64930.00
上海临床研究中心数字剪影血管造影DSA （双板）的合同公告,2025-05-16 10:07:52,上海东松医疗科技股份有限公司,张路(男),021-26084602,11999800.00
关于其他印刷服务的框架协议合同公告,2025-05-16 10:03:36,上海万卷印刷股份有限公司,魏辉(男),021-23119466,150000.00
上海市水务海洋数字孪生模型服务管理子系统建设项目公告,2025-05-16 10:01:01,北京金水信息技术发展有限公司,周扬(男),021-32066321,2100000.00
关于资产评估服务的框架协议合同公告,2025-05-16 09:55:59,上海信达资产评估有限公司,韩世新(男),18918285521,8800.00
涉诈要素自动化研判分析服务（服务）的合同公告,2025-05-16 09:55:46,南京企朋软件技术有限公司,封伟(男),15051833657,1495900.00
关于显示器的框架协议合同公告,2025-05-16 09:53:22,上海海德众业信息科技有限公司,沈国柱(男),13918376298,10416.00
关于会计审计的框架协议合同——区外铁路2024年 运营补贴审计、湿地2024年运行维护补贴审计公告,2025-05-16 09:42:00,上海久信会计师事务所有限公司,王艳(女),021-67126666,32000.00
关于其他印刷品的框架协议合同公告,2025-05-16 09:38:02,上海纯德印务有限公司,许恒宝(男),021-62482920,47000.00
2025年全球技术转移大会的合同公告,2025-05-16 09:29:57,上海东部科技成果转化有限公司,谢吉华(男),021-63580023,6699300.00
2025年上海市废弃电器电子产品拆解处理第三方审核项目的合同公告,2025-05-16 09:26:41,上海财瑞会计师事务所有限公司,李莉(女),021-24011542,950000.00
关于物业管理服务的框架协议合同公告,2025-05-16 09:25:34,上海彦朗园艺有限公司,王可(男),18756440501,99996.00
关于笔记本电脑的框架协议合同公告,2025-05-16 09:10:47,上海维优电子工程有限公司,徐芸(女),021-53060606,8900.00
关于显示器的框架协议合同公告,2025-05-16 09:09:33,上海晋冉信息科技有限公司,谢瑞君(女),13386209755,2000.00
关于打印/复印纸的框架协议合同公告,2025-05-16 09:00:13,上海予发办公设备有限公司,许大江(男),13636371087,2890.00
