网站链接,文章标题,文章摘要
https://ieeexplore.ieee.org/document/10722561/,Characterization of Lightweight GPS Disciplined Oscillators for Distributed UAV Measurement Applications,"With an increasing variety of measurement applications using sensing nodes on unmanned aerial vehicles (UAVs), global positioning system (GPS) and global navigation satellite system (GNSS) disciplined oscillators (GPSDOs, GNSSDOs) are an appealing solution for precise wireless inter-device synchronization. Typically evaluated under laboratory conditions by analyzing the 10 MHz and 1 pulse per second (PPS) reference signal stability, these test methods overlook airborne oscillator performance. This paper characterizes lightweight GNSSDO models for flight suitability using a measurement system based on software defined radios (SDRs). We analyze reference signal stability under controlled GNSS signal impairments to predict performance and measurement precision loss in dynamic operational modes. Additionally, we assess behavior under the impacts caused by operating the UAV, as well as typical flight vibrations and accelerations outlined in the standard for payload devices."
https://ieeexplore.ieee.org/document/6616189/,Distributed task allocation and coordination scheme for a multi-UAV sensor network,"Unmanned Aerial Vehicle (UAV) networks require successful mission execution, which is dependent on task planning and control. In this paper, we propose a distributed task allocation algorithm for a multi-UAV sensor network for sensing thorium intensities in the coastal areas of India. A power-aware coordination and planning approach is used to coordinate the activities of multiple UAVs. Depending on the availability of resources in each sensing UAV unit, each UAV initiates a task-scheduling algorithm and distributes its remaining tasks dynamically to other UAVs. The control station sends control information to the UAVs and receives the sensed parameters along with the location information from each UAV. The task allocation algorithm was simulated successfully using a network of static motes. The network was more effective and efficient with the use of this task allocation algorithm, thus contributing to improved mission execution in UAV networks."
https://ieeexplore.ieee.org/document/8729752/,Towards autonomous ocean observing systems using Miniature Underwater Gliders with UAV deployment and recovery capabilities,"This paper presents preliminary results towards the development of an autonomous ocean observing system using Miniature Underwater Gliders (MUGs) that can operate with the support of Unmanned Aerial Vehicles (UAVs) and Unmanned Surface Vessels (USVs) for deployment, recovery, battery charging, and communication relay. The system reduces human intervention to the minimum, revolutionizing the affordability of a broad range of surveillance and data collection operations. The MUGs are equipped with a small Variable Buoyancy System (VBS) composed of a gas filled piston and a linear actuator powered by brushless DC motor and a rechargable lithium ion battery in an oil filled flexible enclosure. By using a fully pressure tolerant electronic design the aim is to reduce the total complexity, weight, and cost of the overall system. A first prototype of the VBS was built and demonstrated in a small aquarium. The electronic components were tested in a pressure testing facility to a minimum of 20bar. Preliminary results are promising and future work will focus on system and weight optimization, UAV deployment/recovery strategies, as well as sea trials to an operating depth of 200m."
https://ieeexplore.ieee.org/document/10873900/,An Analysis on the Energy Consumption of Coverage Path Planning Algorithms on Multiple UAVs,"One of the greatest limitations that aerial vehicles face nowadays is the limitation in flight durations. This issue becomes more critical in search applications where a specific area is required to be covered through drone using Coverage Path Planning (CPP) algorithms. Searching in bigger regions multiple drones are often deployed to cover an area. This work utilized multiple combinations of UAVs using different CPP algorithms to find the most optimal choice to cover a region. There were four simulation scenarios with the above-mentioned combinations which were evaluated for multiple parameters. These parameters include coverage completeness, coverage time, battery consumption and the number of maneuvers required to cover the region using ROS Gazebo Simulation and Qground Control. The data retrieved from the simulation results were then compared to determine the best CPP method. It was observed from the results that the Expanding Spiral method proved to be the fastest CPP method with the least coverage time, lowest battery consumption and least number of turns."
https://ieeexplore.ieee.org/document/8927929/,Efficient Data Collection in Large-Scale UAV-aided Wireless Sensor Networks,"Dispatching unmanned aerial vehicles (UAVs) to collect sensor data from distributed sensor networks is expected to significantly improve the data collection efficiency of traditional Wireless Sensor Networks (WSNs). In this paper, we consider data collection for distributed large-scale UAV-aided WSNs. We first divide the target area into clusters, and determine the cluster head election and data forwarding rules within the cluster based on the value of information (VoI) and power of nodes. Then sensor nodes collect information around by event-driven, and the UAV acts as a mobile sink to collect the data of cluster head nodes. The direct future prediction (DFP) model is used to plan the UAV path, which allows the UAV to handle multitarget tasks, maximizing the total VoI collected while ensuring that the UAV is charged at low power. Simulation results show that our DFP model is superior to traditional Q-Learning and Deep Q-Learning Network (DQN) in performance."
https://ieeexplore.ieee.org/document/10027832/,Are UAVs' Flight Controller Software Reliable?,"Unmanned Ariel Vehicles (UAVs) are recently being studied and worked upon to make them safe and secure for the upcoming expected growth of UAVs in civilian airspace. These efforts resulted in services such as Unmanned Aircraft System Traffic Management (UTM) or U-space in Europe, providing services to regularize and organize (pre-flight), monitor/track (during the flight) drones in civilian airspace while avoiding collisions. The primary source of information for tracking drones during flight is GPS positioning data, which is used and filtered (after being fused with the other sensors' data) by the flight controller software to estimate the vehicle position, velocity, and orientation. Extended Kalman Filter (EKF), which is used in most open-source flight controllers such as PX4, is responsible for doing this estimation. This makes EKF a critical component of the whole system. This paper aims to study the reliability of flight controllers and their core component, namely EKF, in the presence of GPS-related failures. To do so, we injected faults (i.e., we emulated failures indeed) on GPS raw data ranging from small noises to complete failure (missing GPS signals) and GPS spoofing to study their impact on EKF estimation and on the system as a whole. We observed that for small faults (e.g., Fixed Small Noise or Freeze Values), EKF is efficient and can tolerate/compensate the faults, whereas there is a gap in the filter for handling bigger anomalies (e.g., Invalid Values or Random Values) in the GPS data. Our research also clearly demonstrates that GPS faults lasting 30 seconds or more have a noticeable effect, which represents a clear vulnerability since GPS can be subject of cyber attacks such as spoofing. The quantification of the impact of GPS-related failures in the PX4 is an essential step to measure and improve the reliability of UAVs' flight controller software."
https://ieeexplore.ieee.org/document/9771497/,Initial Reliability Assessment of a Commercial-Off-The-Shelf GPS Sensor for Generic UAVs,"Unmanned aerial vehicles (UAVs) have gathered much attention commercially in recent times owing to the advancement in technology, such as the introduction of brushless-DC motors and micro-electromechanical systems (MEMS). As a result, these UAVs can undertake complex missions and pose potential benefits to a multitude of use cases, for instance, last-mile cargo delivery, infrastructure inspection, and even search-and-rescue missions. With the increase in the adoption of UAVs and the abundance of commercial-off-the-shelf (COTS) components, the airworthiness of the UAVs grows to be of concern as the assessment criteria for them are not as stringent as that of manned aircraft, largely due to the absence of an onboard pilot or passengers. In addition, UAVs with COTS components lack data to provide assurance of their reliability and determine if the UAVs are fit to fly. On-board navigational sensors are one of the critical subsystems in a UAV and any deterioration in the performance of these sensors can precipitate into a UAV system failure during flight missions, potentially leading to a crash. As such, the reliability of these sensors has to be ascertained before any flight mission to ensure their airworthiness. In this paper, we will assess a COTS GPS sensor that has been commonly used in self-assembled UAVs and predict its reliability based on the characteristics of the Surface Mounted Devices (SMD) and Integrated Circuits (IC) using MIL-HDBK-217F. Results from this assessment will provide a preliminary representation of the reliability of a typical COTS GPS sensor for the determination of its suitability for its intended operation."
https://ieeexplore.ieee.org/document/9020894/,RSS-Based Q-Learning for Indoor UAV Navigation,"In this paper, we focus on the potential use of unmanned aerial vehicles (UAVs) for search and rescue (SAR) missions in GPS-denied indoor environments. We consider the problem of navigating a UAV to a wireless signal source, e.g., a smartphone or watch owned by a victim. We assume that the source periodically transmits RF signals to nearby wireless access points. Received signal strength (RSS) at the UAV, which is a function of the UAV and source positions, is fed to a Q-learning algorithm, and the UAV is navigated to the vicinity of the source. Unlike the traditional location-based Q-learning approach that uses the GPS coordinates of the agent, our method uses the RSS to define the states and rewards of the algorithm. It does not require any a priori information about the environment. These, in turn, make it possible to use the UAVs in indoor SAR operations. Two indoor scenarios with different dimensions are created using a ray tracing software. Then, the corresponding heat maps that show the RSS at each possible UAV location are extracted for more realistic analysis. Performance of the RSS-based Q-learning algorithm is compared with the baseline (location-based) Q-learning algorithm in terms of convergence speed, average number of steps per episode, and the total length of the final trajectory. Our results show that the RSS-based Q-learning provides competitive performance with the location-based Q-learning."
https://ieeexplore.ieee.org/document/10131699/,Methods of Automating Power Swapping Mechanisms for Extending UAV Flight Missions,"This paper describes a novel complete system for the autonomous replacement of lithium-polymer batteries (LiPo battery) in small-scale unmanned aerial vehicles (UAVs). A core mechanic of the system relies on a horizontal rotating battery chamber that is capable of storing, managing, and distributing eight drone-compliant batteries. The station dubbed the ""Battery Vending Machine"", or BVM for short is accompanied by solar power panels for a rapid power supply, detachable modules for mobile transport, and interlocking components to safeguard the batteries when not in use. Companion modules work with the BVM to allow compatibility with drone docking and battery swapping. A ground control station (GCS) with intricately placed fiducial markers and fast wireless charging technology operates to dock the drone safely in preparation for a power supply hot-swap procedure. A robotic arm system works to transfer the batteries from one station to another. The three stations work in unison to provide a faster and more optimized method to exchange depleted batteries on a flight vehicle with fully charged power sources. Results of physical experiments of each module in the automatic replacement system provide insight into the implementation of high-endurance fully-autonomous flight missions using remote landing, replenishing, and takeoff sequences."
https://ieeexplore.ieee.org/document/10749408/,Electromagnetic Locking/Releasing System for UAVs Wireless Charging Stations,"A drone is an Unmanned Aerial Vehicle (UAV) controlled from the ground by an operator. These vehicles have been under strong development in the last decade both for civil/commercial (surveillance of overhead power lines, territory mapping, fast transports over short distances, PV power plant supervision, fertilizer spreading in agriculture etc.) and military purposes. A main feature of these drones is their action range. This feature is limited by the weight and capacity of the current batteries, which is why it is necessary to recharge them frequently. So far, in-flight battery charging or quick automatic battery swapping on the ground have not been applied. Instead, ground charging is used through conductive technology with galvanic contact or wireless technology. Galvanic contact is affected by difficult atmospheric conditions (wind, rain, snow, mud). This paper presents a novel electromagnetic system that is able to lock the drone on the charging station during wireless charging and to release it at the end of the process."
https://ieeexplore.ieee.org/document/7991381/,SoC estimation using an Extended Kalman filter for UAV applications,"Measuring or estimating adequately and accurately the state of charge (SoC) of a Li-Po battery, which powered an UAV during its flight allows to know the limits of the mission that the UAV is developing and to maximize the energy supplied by the battery. In this sense this paper presents a methodology to estimate the state of charge (SoC) of a LiPo battery through an Extended Kalman Filter (EKF) during the flight of an UAV. By considering the mathematical model of the propulsion system of an UAV hexacopter, the power consumption is computed, and the SoC of the battery is estimated. Finally, a strategy based on estimated SoC is presented to predict the End-of-Discharge (EoD) during the development of a mission of and UAV hexacopter. The simulation results show the effectiveness of the proposed method."
https://ieeexplore.ieee.org/document/9794156/,Airplane-Quadcopter UAV Hybrid Incorporating Power Regeneration Technologies & Weight Minimization,"This paper encompasses the developments by a California State Polytechnic University, Pomona student engineering team to increase the endurance and range of an airplane-quadcopter unmanned aerial vehicle (UAV) hybrid via in-flight power regeneration and structural battery integration. Electric UAVs are commonly limited by low range and flight endurance, limiting the capabilities of an operator and affecting their mission. Increasing these parameters would allow a UAV to operate in both surveillance and inspection roles for extended periods of time in civilian and military capacities. Additionally, by combining the flight characteristics of a conventional fixed-wing aircraft with the hovering ability of a quadcopter, a UAV can become vertical takeoff and landing (VTOL) capable and can maneuver over points of interest more precisely. An off-the-shelf quadcopter and airplane are to be extensively modified by the team to create the hybrid craft, with structural batteries replacing conventional wing spars, solar cells replacing the upper wing skins, and wireless induction coils replacing the lower wing skins. A power management system will be used to efficiently control battery usage and balance generated power from flight along power distribution lines and robotic recharging stations with expended power from flight operations. These ground stations will be built to remotely swap drained batteries with fresh replacements, with the aircraft automatically returning to recharge, then launching again to resume autonomous flight."
https://ieeexplore.ieee.org/document/10005923/,Indoor Autonomous Positioning and Control System of Quadrotor UAV Using Monocular Vision Assistance,"Under indoor conditions without global positioning system (GPS) signals, this paper proposes a feasible method to realize autonomous positioning and tracking of unmanned aerial vehicles (UAV). The system uses the quadrotor’s own inertial measurement unit (IMU), peripheral optical flow and ranging module as the main source of height positioning and hovering information, and uses a monocular camera to assist in indoor positioning. For example, when there is a horizontal tracking line in an indoor three-dimensional space, the UAV can use the altitude data and visual data to perform the task of tracking the line; with the help of the grid lines laid on the ground, the system can position itself. This paper builds a test environment, in which we verify that the system is stable, reliable, and highly feasible."
https://ieeexplore.ieee.org/document/9148458/,A Dynamic Cluster Head Selecting Algorithm for UAV Ad Hoc Networks,"Earthquake is a frequent natural disaster, and the rescue after earthquake is more difficult than those after other disasters because earthquake destroys the ground as well as the communication facilities on it. In this case, unmanned aerial vehicles (UAVs) are a good choice for survivals searching, and Ad hoc networks are a possible means for communication. As a combination, UAV Ad hoc networks play an important role in emergency rescue and communication system. However, UAV networks are unstable and resource limited, including energy resources and communication resources. The cluster heads in a clustered UAV network are more fragile to these disadvantages. In order to balance the cluster head selecting ratio and decline the collision probability, this paper proposes a dynamic cluster head selecting algorithm based on energy, mobility, distance, and node correlation degree. The algorithm calculates the weights of the UAVs according to the above-mentioned four parameters, and selects the best cluster heads. According to simulation results, the proposed algorithm declines the cluster head changing ratio and improves the packet delivery ratio."
https://ieeexplore.ieee.org/document/9888714/,Android and Desktop Based Ground Control Station (GCS) Interface Design for Unmanned Aerial Vehicle (UAV) Communication and Monitoring,"The Indonesian Flying Robot Contest (KRTI) is a competition organized by the National Achievement Center of the Indonesian Ministry of Education, Culture, Research, and Technology. One of the KRTI categories, Technology Development, competes with the work of Unmanned Aerial Vehicle (UAV) technology in the field of Ground Control Station (GCS). GCS serves to communicate and monitor the condition of the UAV in the air. Generally, GCS is only available in applications designed specifically for certain brands of UAVs, resulting in GCS not being able to be used for other types of UAVs. UAVs can experience wind disturbances as well as urgency due to depleted battery capacity. Based on the problems that have been outlined, in this research, a solution was created to design the interface of an Android and Windows-based GCS application for the communication and monitoring of UAVs. The built GCS provides an alternative communication medium with Radio Telemetry for long-distance coverage and Wi-Fi for short-range coverage. The constructed GCS analyzes the roll value movement of the IMU sensor with the linear regression method to inform the UAV stability condition and analyzes the data of GPS sensors, altitude sensors, and UAV battery capacity sensors with the fuzzy inference system method to inform the urgency of the UAV return time. GCS meets real-time needs running on the lowest versions of Windows 10 and Android 5.0 (Lollipop) with an average data runtime of 3.427 milliseconds for Windows and 16.724 milliseconds for Android. The usability of the GCS design is rated Excellent with an effectiveness rate of 84%. Round-Trip-Time USB UART communication media of 13.518 milliseconds at the test limit distance of 100 meters and Wi-Fi UDP Relay of 3.125 milliseconds at an optimal distance of 25 meters."
https://ieeexplore.ieee.org/document/10577710/,Unmanned Aerial Vehicles in Peril: Investigating and Addressing Cyber Threats to UAVs,"Unmanned Aerial Vehicles (UAVs), more commonly referred to as drones, are powered aircraft that are operated either remotely or via a pre-programmed flight plan. UAVs offer a cheaper alternative for acquiring high-resolution remote sensing data with increased operational flexibility. Lately, they have become prevalent for widespread use in search, rescue, or surveillance in remote, hazardous areas, or areas affected by natural disasters. However, significant cybersecurity threats to drones include a range of risks and vulnerabilities that can compromise the security, integrity, and functionality of unmanned aerial vehicles if protective measures are not implemented. Some of the common cybersecurity attacks on UAVs include GPS spoofing and jamming, remote control takeover, malware and software exploits, sensor spoofing, counter-drone attacks, and data tampering. The results of successful cybersecurity attacks can have radical repercussions on the safety of the mission, payload, structure, and human lives. In this paper, we will investigate the most common cyber threats and possible mitigations."
