股票名称,股票代码,供应商名称,采购占比,采购金额,公告时间,数据来源,供应商重复次数
中联重科,157,北京联华盛世品牌管理顾问股份有限公司,20.70%,295.48,2016-06-14 00:00:00,供应商公告,1
中联重科,157,深圳市联软科技股份有限公司,3.47%,110.72,2016-05-31 00:00:00,供应商公告,1
中联重科,157,厦门嘉戎技术股份有限公司,33.37%,1012.91,2016-05-30 00:00:00,供应商公告,1
中联重科,157,上海明硕供应链管理股份有限公司,5.35%,616.58,2016-04-07 00:00:00,供应商公告,1
中联重科,157,扬戈科技股份有限公司,12.56%,1736.39,2016-03-29 00:00:00,供应商公告,1
中联重科,157,江苏赛福天集团股份有限公司,4.27%,2591.87,2016-03-11 00:00:00,供应商公告,1
中联重科,157,厦门航天思尔特机器人系统股份公司,13.82%,1772.31,2016-01-06 00:00:00,供应商公告,1
中联重科,157,湖南农商通电子商务股份有限公司,1.67%,22.72,2015-12-09 00:00:00,供应商公告,1
中联重科,157,扬戈科技股份有限公司,28.24%,4966.76,2015-11-17 00:00:00,供应商公告,1
中联重科,157,长沙瑞捷机械科技股份有限公司,98.78%,3158.03,2015-08-31 00:00:00,供应商公告,2
中联重科,157,河南同心传动股份有限公司,6.01%,275.33,2015-08-18 00:00:00,供应商公告,1
中联重科,157,湖南军芃科技股份有限公司,42.18%,174.27,2015-07-14 00:00:00,供应商公告,1
中联重科,157,江西省万通建设有限公司,无,,2015-05-21 00:00:00,司法数据,1
中联重科,157,恒立实业发展集团股份有限公司,6.75%,369.31,2015-04-30 00:00:00,供应商公告,1
中联重科,157,湖南快乐文化传媒股份有限公司,11.92%,156.53,2015-04-28 00:00:00,供应商公告,1
中联重科,157,烟台禹成机械股份有限公司,14.95%,287.77,2015-04-15 00:00:00,供应商公告,1
中联重科,157,上海晟鑫石油制品有限公司,无,,2015-03-31 00:00:00,司法数据,1
中联重科,157,上海强田液压股份有限公司,3.74%,228.89,2015-02-27 00:00:00,供应商公告,1
中联重科,157,深圳市雷赛智能控制股份有限公司,2.07%,465.36,2014-12-31 00:00:00,供应商公告,1
中联重科,157,烟台禹成机械股份有限公司,11.01%,174.50,2014-12-25 00:00:00,供应商公告,1
中联重科,157,沃顿信息科技（湖南）股份有限公司,4.28%,84.11,2014-11-28 00:00:00,供应商公告,1
中联重科,157,上海海希工业通讯股份有限公司,24.79%,8296.65,2014-10-31 00:00:00,供应商公告,1
中联重科,157,湖南深拓智能科技股份有限公司,21.11%,2151.96,2014-07-28 00:00:00,供应商公告,1
中联重科,157,上海明硕供应链管理股份有限公司,12.17%,1048.56,2014-07-24 00:00:00,供应商公告,1
中联重科,157,上海易之景和环境技术股份有限公司,21.69%,224.45,2014-05-29 00:00:00,供应商公告,1
中联重科,157,孝义市立云混凝土制作有限公司,无,,2014-04-18 00:00:00,司法数据,1
中联重科,157,有棵树科技股份有限公司,6.39%,1010.52,2014-04-01 00:00:00,供应商公告,1
中联重科,157,滕州市中天宏基建材有限公司,无,,2014-03-18 00:00:00,司法数据,1
中联重科,157,太原宏伟达工程机械设备有限公司,无,,2014-02-24 00:00:00,司法数据,1
中联重科,157,上海优力富实业有限公司,无,,2013-11-19 00:00:00,司法数据,1
中联重科,157,上海豪事莱冷弯型钢科技发展有限公司,无,,2013-10-18 00:00:00,司法数据,1
中联重科,157,中联重科股份有限公司,无,,2013-10-14 00:00:00,司法数据,1
中联重科,157,恒立实业发展集团股份有限公司,7.46%,323.52,2013-08-29 00:00:00,供应商公告,2
中联重科,157,有棵树科技股份有限公司,5.91%,438.01,2013-08-26 00:00:00,供应商公告,1
中联重科,157,潍柴动力股份有限公司,2.43%,116852.93,2013-03-22 00:00:00,供应商公告,1
中联重科,157,江西特种电机股份有限公司,2.89%,1868.34,2013-03-09 00:00:00,供应商公告,1
中联重科,157,北京华芯数据科技股份有限公司,2.71%,27.13,2012-12-24 00:00:00,供应商公告,1
中联重科,157,北京沃捷文化传媒股份有限公司,4.80%,950.00,2012-12-12 00:00:00,供应商公告,1
中联重科,157,厦门三路公路工程有限公司,无,77.50,2012-11-29 00:00:00,招投标公告,1
中联重科,157,西藏旅游股份有限公司,22.61%,4572.59,2012-04-25 00:00:00,供应商公告,1
常山北明,158,应当按照公告要求的时间自行,无,,2025-06-26 00:00:00,招投标公告,2
常山北明,158,河北尚途电梯安装工程有限公司,无,17.10,2025-05-14 00:00:00,招投标公告,1
常山北明,158,中通建工城建集团有限公司,无,,2024-10-29 00:00:00,招投标公告,1
常山北明,158,石家庄市建筑工程有限公司,无,,2024-06-27 00:00:00,招投标公告,1
常山北明,158,天保建设集团有限公司,无,,2023-05-16 00:00:00,招投标公告,1
常山北明,158,河北建设集团股份有限公司,无,,2022-04-25 00:00:00,招投标公告,2
常山北明,158,五洲工程顾问集团有限公司,无,166.66,2022-01-29 00:00:00,招投标公告,1
常山北明,158,廊坊腾跃机械部件有限公司,无,,2021-10-12 00:00:00,招投标公告,1
常山北明,158,石家庄一建建设集团有限公司,无,,2021-09-27 00:00:00,招投标公告,1
常山北明,158,山东省邮电规划设计院有限公司,无,,2021-09-13 00:00:00,招投标公告,1
常山北明,158,山东豪赫纺织设备有限公司,无,101.20,2021-06-17 00:00:00,招投标公告,1
常山北明,158,中华棉花集团有限公司,7.21%,6.54,2021-04-28 00:00:00,年报,1
常山北明,158,北京金三环纺织进出口有限责任公司,3.38%,3.07,2021-04-28 00:00:00,年报,1
常山北明,158,华为技术有限公司,16.79%,15.24,2021-04-28 00:00:00,年报,1
常山北明,158,天津天纺投资控股有限公司,7.23%,6.56,2021-04-28 00:00:00,年报,1
常山北明,158,重庆市棉麻集团有限公司,6.70%,6.08,2021-04-28 00:00:00,年报,1
常山北明,158,河北同顺废旧金属回收有限公司,无,5.55,2020-09-25 00:00:00,招投标公告,2
常山北明,158,华为技术有限公司,16.23%,137899.12,2020-04-25 00:00:00,年报,1
常山北明,158,重庆市棉麻集团有限公司,12.26%,104230.96,2020-04-25 00:00:00,年报,1
常山北明,158,天津纺织集团（控股）有限公司,9.30%,79082.35,2020-04-25 00:00:00,年报,1
常山北明,158,中棉集团河北棉花有限公司,5.29%,44935.98,2020-04-25 00:00:00,年报,1
常山北明,158,河北银浪棉业有限公司,2.42%,20538.96,2020-04-25 00:00:00,年报,1
常山北明,158,河北建工集团有限责任公司,无,,2019-12-16 00:00:00,司法数据,1
常山北明,158,河北大众资产评估有限责任公司,无,,2019-12-02 00:00:00,招投标公告,1
常山北明,158,三林万业（上海）企业集团有限公司,4.10%,38929.91,2019-04-30 00:00:00,年报,1
常山北明,158,天津纺织集团（控股）有限公司,16.49%,156461.93,2019-04-30 00:00:00,年报,1
常山北明,158,中华棉花集团有限公司,3.87%,36676.77,2019-04-30 00:00:00,年报,1
常山北明,158,华为技术有限公司,21.31%,202180.55,2019-04-30 00:00:00,年报,1
常山北明,158,重庆市棉麻集团有限公司,2.47%,23470.45,2019-04-30 00:00:00,年报,1
常山北明,158,上海市北高新（集团）有限公司,无,21035.93,2019-04-29 00:00:00,供应商公告,1
常山北明,158,三林万业（上海）企业集团有限公司,2.27%,23401.85,2018-04-10 00:00:00,年报,1
常山北明,158,北京全国棉花交易市场集团有限公司,17.61%,181355.67,2018-04-10 00:00:00,年报,1
常山北明,158,华为技术有限公司,14.65%,150866.06,2018-04-10 00:00:00,年报,1
常山北明,158,天津天纺高新物流有限公司,2.99%,30815.06,2018-04-10 00:00:00,年报,1
常山北明,158,天津市金泰来贸易有限公司,5.74%,59079.44,2018-04-10 00:00:00,年报,1
常山北明,158,新兴际华集团有限公司,无,74103.99,2017-11-02 00:00:00,供应商公告,1
常山北明,158,北京全国棉花交易市场电子商务有限责任公司,6.07%,63271.59,2017-04-29 00:00:00,年报,1
常山北明,158,华为技术有限公司,12.21%,127222.92,2017-04-29 00:00:00,年报,1
常山北明,158,天津市金泰来贸易有限公司,8.65%,90074.59,2017-04-29 00:00:00,年报,1
常山北明,158,新兴际华国际贸易有限公司,8.67%,90317.49,2017-04-29 00:00:00,年报,1
常山北明,158,际华襄阳国际贸易有限公司,3.07%,32002.61,2017-04-29 00:00:00,年报,1
常山北明,158,河北建设集团股份有限公司,无,6186.86,2017-04-11 00:00:00,招投标公告,1
常山北明,158,天津市金泰来贸易有限公司,9.97%,86479.82,2016-04-15 00:00:00,年报,1
常山北明,158,华为技术有限公司,7.57%,65693.73,2016-04-15 00:00:00,年报,1
常山北明,158,SPHK HOLDING LIMITED ,5.81%,50352.12,2016-04-15 00:00:00,年报,1
常山北明,158,新兴际华国际贸易有限公司,4.59%,39838.22,2016-04-15 00:00:00,年报,1
常山北明,158,維健集團（香港）有限公司,4.03%,34929.18,2016-04-15 00:00:00,年报,1
常山北明,158,新兴际华国际贸易有限公司,17.68%,86658.94,2015-02-06 00:00:00,年报,1
常山北明,158,天津市金泰来贸易有限公司,10.24%,50190.38,2015-02-06 00:00:00,年报,1
常山北明,158,WIMEXVENTURESLIMITED,9.74%,47763.66,2015-02-06 00:00:00,年报,1
常山北明,158,天津天纺高新物流有限公司,6.86%,33647.38,2015-02-06 00:00:00,年报,1
常山北明,158,中棉集团河北棉花有限公司,6.30%,30871.33,2015-02-06 00:00:00,年报,1
常山北明,158,WIMEXVENTURESLIMITED,20.14%,109526.93,2014-04-26 00:00:00,年报,1
常山北明,158,天津市金泰来贸易有限公司,10.25%,55745.32,2014-04-26 00:00:00,年报,1
常山北明,158,际华三五四三针织服饰有限公司,8.39%,45605.08,2014-04-26 00:00:00,年报,1
常山北明,158,辽宁棉业有限责任公司,4.10%,22320.66,2014-04-26 00:00:00,年报,1
常山北明,158,北京全国棉花交易市场棉花配送有限公司,4.01%,21805.49,2014-04-26 00:00:00,年报,1
常山北明,158,WIMEXVENTURESLIMITED,21.13%,91547.12,2013-04-25 00:00:00,年报,1
常山北明,158,天津市金泰来贸易有限公司,11.16%,48369.22,2013-04-25 00:00:00,年报,1
常山北明,158,北京清银商贸有限公司,5.76%,24944.69,2013-04-25 00:00:00,年报,1
常山北明,158,上海璃澳实业有限公司,2.59%,11230.00,2013-04-25 00:00:00,年报,1
常山北明,158,华雄实业有限公司,2.01%,8715.72,2013-04-25 00:00:00,年报,1
国际实业,159,上海国贸化工有限公司,7.39%,31338.98,2024-04-25 00:00:00,年报,1
国际实业,159,昊耀能化（宁波）有限公司,5.04%,21368.05,2024-04-25 00:00:00,年报,2
国际实业,159,南京储锦科技有限公司,5.51%,23388.54,2024-04-25 00:00:00,年报,1
国际实业,159,常州海柯力进出口有限公司,4.02%,17059.25,2024-04-25 00:00:00,年报,1
国际实业,159,海南晟耀新能源科技有限公司,5.08%,21547.01,2024-04-25 00:00:00,年报,1
国际实业,159,福建永飞投资有限公司,4.17%,6073.01,2023-04-20 00:00:00,年报,1
国际实业,159,福建韵达贸易有限公司,4.40%,6418.83,2023-04-20 00:00:00,年报,1
国际实业,159,重庆阳启供应链管理有限公司,8.34%,12158.04,2023-04-20 00:00:00,年报,1
国际实业,159,南京储文科技有限公司,11.27%,16432.82,2023-04-20 00:00:00,年报,1
国际实业,159,徐州利峰泰建材贸易有限公司,4.60%,6701.09,2023-04-20 00:00:00,年报,1
国际实业,159,新疆中化房地产有限公司,无,,2022-07-29 00:00:00,招投标公告,3
国际实业,159,南京储文科技有限公司,5.78%,5881.06,2022-04-12 00:00:00,年报,1
国际实业,159,上海国合新浦石化有限责任公司,27.21%,27684.78,2022-04-12 00:00:00,年报,1
国际实业,159,中国石化销售股份有限公司新疆乌鲁木齐石油分公司,9.37%,9530.54,2022-04-12 00:00:00,年报,1
国际实业,159,天津天源汇通国际贸易有限公司,6.68%,6793.87,2022-04-12 00:00:00,年报,1
国际实业,159,新疆胜利石油化工有限公司,5.48%,5575.64,2022-04-12 00:00:00,年报,1
国际实业,159,东营市拓宇化工技术有限公司,无,,2022-03-21 00:00:00,司法数据,1
国际实业,159,山东华显安装建设有限公司,无,,2022-03-21 00:00:00,司法数据,1
国际实业,159,欧普石油天然气集团有限公司,40.50%,20123.85,2021-04-20 00:00:00,年报,1
国际实业,159,中铁油料集团有限公司,21.70%,10783.00,2021-04-20 00:00:00,年报,1
国际实业,159,陕西长恒实业有限公司,4.94%,2456.16,2021-04-20 00:00:00,年报,1
国际实业,159,中国石化销售股份有限公司新疆乌鲁木齐石油分公司,3.97%,1971.79,2021-04-20 00:00:00,年报,1
国际实业,159,哈密天智新能源科技有限公司,3.66%,1816.42,2021-04-20 00:00:00,年报,1
国际实业,159,中国石化销售股份有限公司新疆乌鲁木齐石油分公司,40.82%,17318.20,2020-04-29 00:00:00,年报,1
国际实业,159,中铁油料集团有限公司,18.08%,7670.02,2020-04-29 00:00:00,年报,1
国际实业,159,盘锦蓝海石化有限公司,8.62%,3655.67,2020-04-29 00:00:00,年报,1
国际实业,159,浙江舟山汇川河石油化工有限公司,3.62%,1535.04,2020-04-29 00:00:00,年报,1
国际实业,159,陕西长恒实业有限公司,3.59%,1525.06,2020-04-29 00:00:00,年报,1
国际实业,159,中国石化销售股份有限公司新疆乌鲁木齐石油分公司,36.13%,12633.48,2019-04-16 00:00:00,年报,1
国际实业,159,北京瑞凯铭化工有限公司,8.72%,3049.93,2019-04-16 00:00:00,年报,1
国际实业,159,哈密天智新能源科技有限公司,5.21%,1820.17,2019-04-16 00:00:00,年报,1
国际实业,159,新疆亚欧大陆桥保荣储运有限公司,5.52%,1931.15,2019-04-16 00:00:00,年报,1
国际实业,159,盘锦蓝海石化有限公司,15.51%,5422.19,2019-04-16 00:00:00,年报,1
国际实业,159,中国石化销售股份有限公司新疆石油分公司,20.53%,7888.13,2018-03-29 00:00:00,年报,1
国际实业,159,新疆苏中建设工程有限公司,4.13%,1586.41,2018-03-29 00:00:00,年报,1
国际实业,159,盘锦蓝海石化有限公司,13.92%,5346.74,2018-03-29 00:00:00,年报,1
国际实业,159,中国石化销售股份有限公司新疆巴州石油分公司,3.23%,1873.28,2017-04-18 00:00:00,年报,1
国际实业,159,中国石化销售股份有限公司新疆石油分公司,8.25%,4784.01,2017-04-18 00:00:00,年报,1
国际实业,159,新疆中胜达石油化工有限公司,3.67%,2128.22,2017-04-18 00:00:00,年报,1
国际实业,159,新疆联创石化有限公司,14.69%,8517.39,2017-04-18 00:00:00,年报,1
国际实业,159,新疆苏中建设工程有限公司,3.51%,2032.33,2017-04-18 00:00:00,年报,1
国际实业,159,新疆生产建设兵团建设工程集团石油物资有限责任公司,9.59%,7513.80,2016-03-29 00:00:00,年报,1
国际实业,159,新疆奥通国际贸易有限公司,6.87%,5380.50,2016-03-29 00:00:00,年报,1
国际实业,159,重庆中泰新能源有限公司,6.74%,5276.50,2016-03-29 00:00:00,年报,1
国际实业,159,新疆苏中建设工程有限公司,4.25%,3326.90,2016-03-29 00:00:00,年报,1
国际实业,159,金甲联创国际贸易有限公司,3.33%,2612.80,2016-03-29 00:00:00,年报,1
国际实业,159,新疆华辉石油化工有限公司,17.70%,24063.56,2015-04-21 00:00:00,年报,1
国际实业,159,新疆嘉和永泰石油化工有限公司,11.67%,15861.53,2015-04-21 00:00:00,年报,1
国际实业,159,恒百锐供应链管理股份有限公司,8.81%,11976.94,2015-04-21 00:00:00,年报,1
国际实业,159,巴州融福商贸有限公司,6.52%,8865.91,2015-04-21 00:00:00,年报,1
国际实业,159,新疆苏中建设工程有限公司,5.75%,7814.39,2015-04-21 00:00:00,年报,1
国际实业,159,中国石化销售股份有限公司新疆石油分公司,15.24%,11053.27,2014-04-22 00:00:00,年报,1
国际实业,159,中国航油集团新疆石油有限公司,10.59%,7679.79,2014-04-22 00:00:00,年报,1
国际实业,159,中国石油天然气股份有限公司新疆哈密销售分公司,8.47%,6145.17,2014-04-22 00:00:00,年报,1
国际实业,159,新疆华辉石油化工有限公司,6.63%,4808.82,2014-04-22 00:00:00,年报,1
国际实业,159,新疆胜利石油化工有限公司,4.81%,3490.00,2014-04-22 00:00:00,年报,1
国际实业,159,新疆华辉石油化工有限公司,12.60%,14653.61,2013-04-02 00:00:00,年报,1
国际实业,159,中国航油集团新疆石油有限公司,9.95%,11570.64,2013-04-02 00:00:00,年报,1
国际实业,159,金甲联创国际贸易有限公司,7.97%,9266.39,2013-04-02 00:00:00,年报,1
国际实业,159,巴州融侨能源有限责任公司,7.90%,9185.04,2013-04-02 00:00:00,年报,1
国际实业,159,新疆嘉和永泰石油化工有限公司,7.03%,8171.47,2013-04-02 00:00:00,年报,1
美的集团,333,广东美的暖通设备有限公司,无,1842.00,2025-07-07 00:00:00,招投标公告,2
美的集团,333,"AgreementwillprevailifthereisanyconflictorinconsistencybetweenthisAgreementanditsannex（s）,",无,,2025-07-02 00:00:00,招投标公告,1
美的集团,333,尚阳科技股份有限公司,无,,2025-06-27 00:00:00,招投标公告,1
美的集团,333,邯郸美的智能厨电制造有限公司,无,,2025-06-25 00:00:00,招投标公告,1
美的集团,333,广东美创希科技有限公司,无,,2025-06-20 00:00:00,招投标公告,1
美的集团,333,联想（北京）有限公司,无,,2025-05-27 00:00:00,招投标公告,1
美的集团,333,埃森哲信息技术（大连）有限公司,无,,2025-05-12 00:00:00,招投标公告,1
美的集团,333,广东省顺德开关厂有限公司,无,,2025-05-12 00:00:00,招投标公告,1
美的集团,333,江苏宝得换热设备股份有限公司,无,2382.34,2025-04-30 00:00:00,供应商公告,1
美的集团,333,广东大雅智能厨电股份有限公司,无,2473.24,2025-04-29 00:00:00,供应商公告,1
美的集团,333,上海美嘉林软件科技股份有限公司,无,912.02,2025-04-21 00:00:00,供应商公告,1
美的集团,333,广东威林科技股份有限公司,无,2266.80,2025-04-21 00:00:00,供应商公告,1
美的集团,333,合肥高科科技股份有限公司,无,5024.97,2025-04-18 00:00:00,供应商公告,1
美的集团,333,广东美的制冷设备有限公司,无,,2025-04-15 00:00:00,招投标公告,1
美的集团,333,TheselleroftheEquipment,无,,2025-04-12 00:00:00,招投标公告,1
美的集团,333,库卡机器人（广东）有限公司,无,,2025-04-08 00:00:00,招投标公告,1
美的集团,333,芜湖安得智联科技有限公司,无,,2025-04-02 00:00:00,招投标公告,1
美的集团,333,腾讯云计算（北京）有限责任公司,无,,2025-04-01 00:00:00,招投标公告,1
美的集团,333,深圳市博大建设集团有限公司,无,997.00,2025-02-28 00:00:00,招投标公告,1
美的集团,333,东莞市天一环境检测仪器有限公司,无,,2025-02-23 00:00:00,招投标公告,1
美的集团,333,长沙市日业电气有限公司,无,,2025-02-21 00:00:00,招投标公告,1
美的集团,333,芜湖美智空调设备有限公司,无,,2025-02-21 00:00:00,招投标公告,1
美的集团,333,铜陵兢强电子科技股份有限公司,无,22524.28,2025-02-20 00:00:00,供应商公告,1
美的集团,333,湖南晶讯光电股份有限公司,无,2991.93,2025-02-07 00:00:00,供应商公告,1
美的集团,333,中国科学院声学研究所,无,,2025-02-06 00:00:00,招投标公告,1
美的集团,333,深圳市一测医疗测试技术有限公司,无,,2025-02-06 00:00:00,招投标公告,1
美的集团,333,广东欢联电子科技有限公司,无,,2025-01-20 00:00:00,招投标公告,1
美的集团,333,重庆美的通用制冷设备有限公司,无,,2025-01-06 00:00:00,招投标公告,1
美的集团,333,广州赛睿检测设备有限公司,无,,2025-01-03 00:00:00,招投标公告,1
美的集团,333,阿里云计算有限公司,无,,2024-12-31 00:00:00,招投标公告,1
美的集团,333,广东美芝制冷设备有限公司,无,,2024-11-09 00:00:00,招投标公告,1
美的集团,333,佛山数港科技有限公司,无,,2024-10-25 00:00:00,招投标公告,1
美的集团,333,威灵（芜湖）电机制造有限公司,无,,2024-10-12 00:00:00,招投标公告,1
美的集团,333,华裕电器集团股份有限公司,无,6617.13,2024-09-05 00:00:00,供应商公告,1
美的集团,333,北京泰利思诺信息技术股份有限公司,无,,2024-08-02 00:00:00,招投标公告,1
美的集团,333,广州番禺骏发电力设备有限公司,无,,2024-07-25 00:00:00,招投标公告,1
美的集团,333,重庆望变电气（集团）股份有限公司,无,,2024-07-25 00:00:00,招投标公告,1
美的集团,333,重庆变压器有限责任公司,无,,2024-07-25 00:00:00,招投标公告,1
美的集团,333,杭州爱科机械有限公司,无,,2024-07-05 00:00:00,招投标公告,1
美的集团,333,深圳市瑞福自动化设备有限公司,无,,2024-07-04 00:00:00,招投标公告,1
美的集团,333,王氏港建中國有限公司,无,,2024-07-04 00:00:00,招投标公告,1
美的集团,333,广东广厚建设发展有限公司,无,,2024-07-02 00:00:00,招投标公告,1
美的集团,333,湖北美的洗衣机有限公司,无,,2024-07-01 00:00:00,招投标公告,1
美的集团,333,方大国际工程咨询股份有限公司,无,,2024-07-01 00:00:00,招投标公告,1
美的集团,333,广东亚泰科技有限公司,无,,2024-06-25 00:00:00,招投标公告,1
美的集团,333,深圳市永信达科技有限公司,无,,2024-06-21 00:00:00,招投标公告,1
美的集团,333,深圳市河川智能电子有限公司,无,,2024-06-20 00:00:00,招投标公告,1
美的集团,333,安徽皖仪科技股份有限公司,无,,2024-06-17 00:00:00,招投标公告,1
美的集团,333,中特科技（青岛）股份有限公司,无,,2024-06-17 00:00:00,招投标公告,1
美的集团,333,深圳市爱迪达科技有限公司,无,,2024-06-17 00:00:00,招投标公告,1
美的集团,333,深圳市广通自动化设备有限公司,无,,2024-06-14 00:00:00,招投标公告,1
美的集团,333,中国电器科学研究院股份有限公司,无,,2024-06-14 00:00:00,招投标公告,1
美的集团,333,北京合康新能科技股份有限公司,无,,2024-06-14 00:00:00,招投标公告,1
美的集团,333,深圳数智场景定位科技有限公司,无,,2024-06-14 00:00:00,招投标公告,1
美的集团,333,协易科技精机（中国）有限公司,无,,2024-06-11 00:00:00,招投标公告,1
美的集团,333,珠海高纳智能科技有限公司,无,,2024-06-11 00:00:00,招投标公告,1
美的集团,333,深圳市腾翔佳科技有限公司,无,,2024-06-07 00:00:00,招投标公告,1
美的集团,333,上海仙工智能科技股份有限公司,无,,2024-06-07 00:00:00,招投标公告,1
美的集团,333,东莞市拓恒电子有限公司,无,,2024-06-06 00:00:00,招投标公告,1
美的集团,333,成都航发机电工程有限公司,无,,2024-06-06 00:00:00,招投标公告,1
美的集团,333,中山市美高电子仪器有限公司,无,,2024-06-04 00:00:00,招投标公告,1
美的集团,333,佛山市顺德区艾测仪器设备有限公司,无,,2024-06-04 00:00:00,招投标公告,1
美的集团,333,浪潮电子信息产业股份有限公司,无,,2024-05-31 00:00:00,招投标公告,1
美的集团,333,佛山市瑞湘五金机械科技有限公司,无,,2024-05-30 00:00:00,招投标公告,1
美的集团,333,海天塑机集团有限公司,无,,2024-05-29 00:00:00,招投标公告,1
美的集团,333,无锡寰宇电子科技有限公司,无,,2024-05-25 00:00:00,招投标公告,1
美的集团,333,东莞市精心自动化设备科技有限公司,无,,2024-05-24 00:00:00,招投标公告,1
美的集团,333,广东百赞智能装备有限公司,无,,2024-05-21 00:00:00,招投标公告,1
美的集团,333,联通（广东）产业互联网有限公司,无,,2024-05-20 00:00:00,招投标公告,1
美的集团,333,广州瑞松智能科技股份有限公司,无,,2024-05-14 00:00:00,招投标公告,1
美的集团,333,广东美的环境科技有限公司,无,,2024-05-14 00:00:00,招投标公告,1
美的集团,333,佛山市顺德区春吉机床有限公司,无,,2024-05-08 00:00:00,招投标公告,1
美的集团,333,美的洗衣机事业部,无,,2024-05-08 00:00:00,招投标公告,1
美的集团,333,上匠智能科技（浙江）有限公司,无,,2024-05-06 00:00:00,招投标公告,1
美的集团,333,高将精机（溧阳）有限公司,无,,2024-05-06 00:00:00,招投标公告,1
美的集团,333,英福康（广州）真空仪器有限公司,无,,2024-04-30 00:00:00,招投标公告,1
美的集团,333,江苏宝得换热设备股份有限公司,无,1489.57,2024-04-30 00:00:00,供应商公告,1
美的集团,333,广东大雅智能厨电股份有限公司,无,1748.18,2024-04-29 00:00:00,供应商公告,1
美的集团,333,珠海市精实技术有限公司,无,,2024-04-29 00:00:00,招投标公告,1
美的集团,333,珠海精实测控技术股份有限公司,无,,2024-04-29 00:00:00,招投标公告,2
美的集团,333,珠海拾比佰彩图板股份有限公司,41.51%,4.72,2024-04-29 00:00:00,供应商公告,1
美的集团,333,深圳市瑞天激光有限公司,无,,2024-04-26 00:00:00,招投标公告,1
美的集团,333,北京翔南科技有限公司,无,,2024-04-26 00:00:00,招投标公告,1
美的集团,333,无锡海达尔精密滑轨股份有限公司,无,2384.10,2024-04-25 00:00:00,供应商公告,1
美的集团,333,广东威林科技股份有限公司,无,3013.10,2024-04-25 00:00:00,供应商公告,1
美的集团,333,通用技术集团大连机床有限责任公司,无,,2024-04-24 00:00:00,招投标公告,1
美的集团,333,杭州海康机器智能有限公司,无,,2024-04-24 00:00:00,招投标公告,1
美的集团,333,东莞市和隆机械设备有限公司,无,,2024-04-23 00:00:00,招投标公告,1
美的集团,333,浙江畅尔智能装备股份有限公司,无,,2024-04-22 00:00:00,招投标公告,1
美的集团,333,山东中际智能装备有限公司,无,,2024-04-22 00:00:00,招投标公告,1
美的集团,333,广东康利达物联科技有限公司,无,,2024-04-22 00:00:00,招投标公告,1
美的集团,333,淄博市临淄方辰母料厂,无,,2024-04-22 00:00:00,招投标公告,1
美的集团,333,佛山市凯望机电设备有限公司,无,,2024-04-20 00:00:00,招投标公告,1
美的集团,333,青岛科通高技术有限公司,无,,2024-04-20 00:00:00,招投标公告,1
美的集团,333,河南典美智能科技有限公司,无,,2024-04-20 00:00:00,招投标公告,1
美的集团,333,湖北贤智科技有限公司,无,,2024-04-20 00:00:00,招投标公告,1
美的集团,333,中国电建集团湖北工程有限公司,无,4897.16,2024-04-19 00:00:00,招投标公告,1
美的集团,333,合肥高科科技股份有限公司,无,3714.29,2024-04-19 00:00:00,供应商公告,1
美的集团,333,珠海市龙健电子有限公司,无,,2024-04-18 00:00:00,招投标公告,1
美的集团,333,广州市雄冠条码实业有限公司,无,,2024-04-18 00:00:00,招投标公告,1
美的集团,333,秦皇岛绿淘商贸有限公司,无,0.27,2024-04-17 00:00:00,招投标公告,1
美的集团,333,芜湖韧辉自动化科技有限公司,无,,2024-04-17 00:00:00,招投标公告,1
美的集团,333,大恒新纪元科技股份有限公司,无,,2024-04-17 00:00:00,招投标公告,1
美的集团,333,广东顺德双科五金制造有限公司,无,,2024-04-17 00:00:00,招投标公告,1
美的集团,333,合肥利百业机电科技有限公司,无,,2024-04-16 00:00:00,招投标公告,1
美的集团,333,广州申安智能科技有限公司,无,,2024-04-16 00:00:00,招投标公告,1
美的集团,333,广州伍鑫节能环保设备科技有限公司,无,,2024-04-16 00:00:00,招投标公告,1
美的集团,333,上海美嘉林软件科技股份有限公司,无,731.86,2024-04-15 00:00:00,供应商公告,1
美的集团,333,佛山市顺德区三兄弟机械制造有限公司,无,,2024-04-11 00:00:00,招投标公告,1
美的集团,333,中山市捷效自动化设备有限公司,无,,2024-04-11 00:00:00,招投标公告,1
美的集团,333,深圳市方川科技有限公司,无,0.00,2024-04-11 00:00:00,招投标公告,1
美的集团,333,深圳市创芯盛智能装备有限公司,无,,2024-04-10 00:00:00,招投标公告,1
美的集团,333,光华辽光电技术股份有限公司,无,,2024-04-10 00:00:00,招投标公告,1
美的集团,333,苏州中瑞智创三维科技股份有限公司,无,,2024-04-10 00:00:00,招投标公告,1
美的集团,333,广东顺德三合工业自动化设备股份有限公司,无,,2024-04-09 00:00:00,招投标公告,1
美的集团,333,佛山市顺德区凯硕精密模具自动化科技有限公司,无,,2024-04-09 00:00:00,招投标公告,1
美的集团,333,广州市明乐仪器有限公司,无,,2024-04-09 00:00:00,招投标公告,1
美的集团,333,浙江飞越机电有限公司,无,,2024-04-09 00:00:00,招投标公告,1
美的集团,333,合肥伊之信机械有限公司,无,,2024-04-08 00:00:00,招投标公告,1
美的集团,333,东莞市欧万能自动化设备有限公司,无,,2024-04-07 00:00:00,招投标公告,1
